[2019-05-02T09:58:58.738] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T09:58:58.836] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T10:01:46.650] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T10:01:46.735] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:17:10.021] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:17:10.148] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:19:02.894] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:19:02.963] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:19:48.561] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:19:48.658] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:20:02.609] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - doc undefined object undefined
[2019-05-02T15:20:14.213] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - doc undefined object undefined
[2019-05-02T15:20:16.132] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - doc undefined object undefined
[2019-05-02T15:21:07.115] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - doc undefined object undefined
[2019-05-02T15:24:27.257] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:24:27.339] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:27:00.537] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:27:00.590] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:29:44.928] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:29:44.981] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:31:04.623] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:31:04.675] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
[2019-05-02T15:32:06.949] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - q-risotto started
[2019-05-02T15:32:06.998] [Level { level: 20000, levelStr: 'INFO', colour: 'green' }] default - Server running at: http://LTMBI243:3000
